,attachments,bot_id,comment,display_as_bot,edited,file,inviter,is_intro,is_multiteam,is_thread_broadcast,item,item_type,last_read,name,new_broadcast,old_name,parent_user_id,pinned_to,plain_text,purpose,reactions,replies,reply_count,root,slog_is_mpdm,slog_is_self_dm,slog_is_shared,slog_is_slackbot_dm,subscribed,subtype,text,thread_ts,timestamp,ts,type,unread_count,upload,upload_reply_to,user,username
243,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'raised_hands', u'users': [u'U365TCNH3']}]",,,,,,,,,,"<!channel> For those of you in the Theater, I've gotten permission for you to practice in there before the presentation start tomorrow. I believe it's reserved for the rest of the day though :confused:",,,"Wednesday, 5 April 2017",message,,,,U1UCK7AAW,
244,,,,,"{u'user': u'U1UCK7AAW', u'ts': u'1491429138.000000'}",,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'margarita_parrot', u'users': [u'U1UTKSSFR', u'U3H4FK351']}, {u'count': 2, u'name': u'beers', u'users': [u'U3HML0DHN', u'U365TCNH3']}, {u'count': 1, u'name': u'cake', u'users': [u'U3GD4QSGG']}, {u'count': 1, u'name': u'cocktail', u'users': [u'U3KBWD3CY']}]",,,,,,,,,,"<!channel> Schedule for tomorrow:
*9:00 am*: Have final version of your PDF slides in google drive. I will close the access to the drive at this time, and will use whatever version of your presentation is in the drive.
*2:00 pm*: Presentation kickoff will start in the speakeasy, panelists will be introduced. Check your email for information on the panelists, I sent you an email via our Partner Relations Manager, Kara Lee, with information on everyone who is attending tomorrow. After introductions we will split into the two rooms.
*2:30 pm*: Presentations will begin.
  * Group 1 will be in the speakeasy
  * Group A will be in the theater
*4:00 pm*: Happy hour and celebration.",,,"Wednesday, 5 April 2017",message,,,,U1UCK7AAW,
245,,,,,"{u'user': u'U3F1AHRHT', u'ts': u'1491428519.000000'}",,,,,,,,,,,,,,,,,"[{u'user': u'U3GEBV00H', u'ts': u'1491495374.647205'}, {u'user': u'U3F1AHRHT', u'ts': u'1491495897.888856'}, {u'user': u'U3GEBV00H', u'ts': u'1491496136.997085'}, {u'user': u'U365TCNH3', u'ts': u'1491496145.000793'}, {u'user': u'U3F1AHRHT', u'ts': u'1491496244.047892'}, {u'user': u'U3GPHKJR1', u'ts': u'1491508263.315524'}]",6,,,,,,0,,"<!channel>- I'm excited for tomorrow! 
Have friends/family that can't attend your capstone presentations, but would like to tune in? We've got you hooked up via livestream. Feel free to share the following with your loved ones. 
*Speakeasy Feed*: <https://www.youtube.com/watch?v=MvJR0jnTX14>
*Theater Feed*: <https://www.youtube.com/watch?v=5JUc51PI9Is>",1491428476,,"Wednesday, 5 April 2017",message,6,,,U3F1AHRHT,
246,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'+1', u'users': [u'U3F1AHRHT']}]",,,,,,,,,,"<@U3F1AHRHT>  thanks, Jenny, for following up on that and for the information!! ",,,"Wednesday, 5 April 2017",message,,,,U365TCNH3,
247,,,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'+1', u'users': [u'U3GD4QSGG', u'U365TCNH3']}]",,,,,,,,,,"<@U365TCNH3> working on this schedule as we speak; we'll get a shared doc your way soon so that you can plan your life around it.   
Also UPDATE re Learn access- confirmed that this is indeed indefinite upon graduation. :slightly_smiling_face:",,,"Wednesday, 5 April 2017",message,,,,U3F1AHRHT,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"That's very helpful! Thank you! :smile:
Also interested in next week's schedule as well! Thank you!",,,"Wednesday, 5 April 2017",message,,,,U365TCNH3,
249,,,,,"{u'user': u'U36C8HHU3', u'ts': u'1491415786.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,<@U365TCNH3> <!channel> Careers kickoff day this Friday starts at 9:30 am â€” expect a full day! We will be ending around 5:30. Lunch will be provided! :smile:,,,"Wednesday, 5 April 2017",message,,,,U36C8HHU3,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<@U1UCK7AAW> thanks for the update, Cary! :) 
Also, what is the schedule for Friday and next week? (Times) 
Want to make <@U36C8HHU3> proud :hugging_face: and keep networking and stuff towards employment, and just wanting to make sure I don't miss class time. Thanks!! :blush:",,,"Wednesday, 5 April 2017",message,,,,U365TCNH3,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> I just realized that a couple of the instructors are going to be in a meeting until 2 this afternoon. So we'll start with the afternoon presentations at 2. I'm editing the above message that got pinned to the channel in case people are still referencing that. Thanks,,,"Wednesday, 5 April 2017",message,,,,U1UCK7AAW,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Come on down when you're ready <!channel> ,,,"Wednesday, 5 April 2017",message,,,,U1UC9NH9Q,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'll be holding a discussion of body language and projection for capstones in the speakeasy from 10 to 1045,,,"Wednesday, 5 April 2017",message,,,,U1UC9NH9Q,
254,,,,,"{u'user': u'U1UC9NH9Q', u'ts': u'1491360727.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,<@U3GPHKJR1> just port your keynote slides to pdf. generally pdf is the preferred format,,,"Wednesday, 5 April 2017",message,,,,U1UC9NH9Q,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<@U1UCK7AAW> are there particular formats you take for the slides?  Can I use keynote?,,,"Wednesday, 5 April 2017",message,,,,U3GPHKJR1,
256,"[{u'channel_name': u'sf_ds_g35', u'is_msg_unfurl': True, u'text': u'<!channel> Hey all, here's the plan for tomorrow:
Tomorrow we will be doing our dry run of your presentations. This will entail presenting in the order listed below and while each group will be presenting in separate rooms on Thursday, tomorrow all of the practice will happen in the speakeasy.
This means that one of the groups, Group 1, will present in the morning, 10:45 - Lunch, and the other, Group A, will present in the afternoon, 2:00 - Finished. Watching the presentation for everyone in your group is required, for the group youâ€™re not in, it is encouraged.
Please upload your presentations for tomorrow to this drive, <https://drive.google.com/open?id=0B2wJUBxdPfHoOGM4QWhraHpIZFU>, by 10 tomorrow morning. I will be making sure that the computer we are presenting from has all of the presentations on it before 10:45 and won't look for them after 10.
```
Group 1
-------
John Zhu
Kuan Li
Jagadeeswari Ramesh
Jeffrey Li
Alexander He
Hao Wei
Chris Van Dusen
Lihua Ma
Aymeric Flaisler
Stefan Decker
Group A
-------
Karey Shumansky
Vineet Kumar
Christopher Seymour
Zhifan (Jeff) Sang
Jonathan Ng
Apoorv Chaudhary
Preethi Raghavan
Dawn Lu
Nicholas Halpern
```', u'author_link': u'https://gstudents.slack.com/team/ultramann', u'ts': u'1491349578.179194', u'author_name': u'Cary Goltermann', u'channel_id': u'G34LMLH32', u'mrkdwn_in': [u'text'], u'author_subname': u'ultramann', u'fallback': u'[April 4th, 2017 4:46 PM] ultramann: <!channel> Hey all, here's the plan for tomorrow:
Tomorrow we will be doing our dry run of your presentations. This will entail presenting in the order listed below and while each group will be presenting in separate rooms on Thursday, tomorrow all of the practice will happen in the speakeasy.
This means that one of the groups, Group 1, will present in the morning, 10:45 - Lunch, and the other, Group A, will present in the afternoon, 2:00 - Finished. Watching the presentation for everyone in your group is required, for the group youâ€™re not in, it is encouraged.
Please upload your presentations for tomorrow to this drive, <https://drive.google.com/open?id=0B2wJUBxdPfHoOGM4QWhraHpIZFU>, by 10 tomorrow morning. I will be making sure that the computer we are presenting from has all of the presentations on it before 10:45 and won't look for them after 10.
```
Group 1
-------
John Zhu
Kuan Li
Jagadeeswari Ramesh
Jeffrey Li
Alexander He
Hao Wei
Chris Van Dusen
Lihua Ma
Aymeric Flaisler
Stefan Decker
Group A
-------
Karey Shumansky
Vineet Kumar
Christopher Seymour
Zhifan (Jeff) Sang
Jonathan Ng
Apoorv Chaudhary
Preethi Raghavan
Dawn Lu
Nicholas Halpern
```', u'author_icon': u'https://secure.gravatar.com/avatar/09cfa14ab1b5e5b5d27ded0d6c467db2.jpg?s=48&d=https%3A%2F%2Fa.slack-edge.com%2F66f9%2Fimg%2Favatars%2Fava_0024-48.png'}]",,,,,,,,,,,G,,,,,,,,,,,,,,,,,,pinned_item,<@U1UBYJQM6|moses.marsh> pinned a message to this channel.,,,"Wednesday, 5 April 2017",message,,,,U1UBYJQM6,
257,,,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'bow', u'users': [u'U3NUVB29W', u'U3NGA49SR']}]",,,,,,,,,,"I plan to show up at 10am tomorrow to go over general advice for handling microphones, gesturing, etcâ€¦ Iâ€™ll also be holding office hours for presentations from 4-6pm tomorrow to anyone who wants to chat about their stuff.",,,"Tuesday, 4 April 2017",message,,,,U1UC9NH9Q,
258,,,,,"{u'user': u'U1UCK7AAW', u'ts': u'1491413552.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Hey all, here's the plan for tomorrow:
Tomorrow we will be doing our dry run of your presentations. This will entail presenting in the order listed below and while each group will be presenting in separate rooms on Thursday, tomorrow all of the practice will happen in the speakeasy.
This means that one of the groups, Group 1, will present in the morning, 10:45 - Lunch, and the other, Group A, will present in the afternoon, 2:00 - Finished. Watching the presentation for everyone in your group is required, for the group youâ€™re not in, it is encouraged.
Please upload your presentations for tomorrow to this drive, <https://drive.google.com/open?id=0B2wJUBxdPfHoOGM4QWhraHpIZFU>, by 10 tomorrow morning. I will be making sure that the computer we are presenting from has all of the presentations on it before 10:45 and won't look for them after 10.
```
Group 1
-------
John Zhu
Kuan Li
Jagadeeswari Ramesh
Jeffrey Li
Alexander He
Hao Wei
Chris Van Dusen
Lihua Ma
Aymeric Flaisler
Stefan Decker
Group A
-------
Karey Shumansky
Vineet Kumar
Christopher Seymour
Zhifan (Jeff) Sang
Jonathan Ng
Apoorv Chaudhary
Preethi Raghavan
Dawn Lu
Nicholas Halpern
```",,,"Tuesday, 4 April 2017",message,,,,U1UCK7AAW,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great thanks! ,,,"Tuesday, 4 April 2017",message,,,,U365TCNH3,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My understanding is that this is unlimited; however, I'm finding clarification on this as we speak. Stay tuned!",,,"Tuesday, 4 April 2017",message,,,,U3F1AHRHT,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is there a time limit? or forever? <@U3F1AHRHT>,,,"Tuesday, 4 April 2017",message,,,,U365TCNH3,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thanks for clarification, Jenny!",,,"Tuesday, 4 April 2017",message,,,,U3GD4QSGG,
263,,,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'+1', u'users': [u'U1VA45RE2', u'U3GD4QSGG']}]",,,,,,,,,,"You still have access upon graduation, <@U3GD4QSGG>!",,,"Tuesday, 4 April 2017",message,,,,U3F1AHRHT,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can we still use Galvanize Learn after graduation?,,,"Tuesday, 4 April 2017",message,,,,U3GD4QSGG,
265,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'parrot_fiestaparrot', u'users': [u'U1UTKSSFR']}, {u'count': 1, u'name': u'nyancat', u'users': [u'U23AJNHEY']}, {u'count': 1, u'name': u'margarita_parrot', u'users': [u'U1UTKSSFR']}, {u'count': 1, u'name': u'parrot_parrotdad', u'users': [u'U1UC9NH9Q']}]",,,,,,,,,,Isaac and Cary scrum groups starting *now*~,,,"Tuesday, 4 April 2017",message,,,,U1YEKSK45,
266,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'champagne', u'users': [u'U3HML0DHN']}, {u'count': 1, u'name': u'aussieparrot', u'users': [u'U1UCK7AAW']}, {u'count': 1, u'name': u'parrot_fiestaparrot', u'users': [u'U1UTKSSFR']}, {u'count': 1, u'name': u'kirby', u'users': [u'U365TCNH3']}]",,,,,,,,,,Moses and Ivan scrum groups starting now!,,,"Tuesday, 4 April 2017",message,,,,U1YEKSK45,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Presentation schedule for tomorrow:
```Moses and Ivan scrum groups: 11 am
Isaac and Cary scrum groups: 1 pm
```
All presentations will be in the classroom.",,,"Monday, 3 April 2017",message,,,,U1UCK7AAW,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> *5 minutes, everyone! Get those Talent profiles finished!!* :smile:",,,"Monday, 3 April 2017",message,,,,U36C8HHU3,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Good afternoon, everyone! A quick reminder that your Talent profiles are *due TODAY at 5 pm.* Iâ€™ll be checking them tonight - please let me know in advance if you have any questions or are having any issues!",,,"Monday, 3 April 2017",message,,,,U36C8HHU3,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Happy Monday, <!channel>! If you have not completed last week's survey, could you take a moment to let us know how we've done for the week? We really appreciate it: <https://docs.google.com/forms/d/e/1FAIpQLSexvT7jLfdyliIVf0arEyk6xa5PB5v3wC8nBMk2qbL53ESgYA/viewform?usp=send_form>",,,"Monday, 3 April 2017",message,,,,U3F1AHRHT,
271,,,,,,,,,,,,,,,,,,,,,"[{u'count': 8, u'name': u'+1', u'users': [u'U3ND5SKJ4', u'U3GD4QSGG', u'U3GEBV00H', u'U3NGA49SR', u'U3KA2HGDD', u'U3NCECYLR', u'U3PPCPC1K', u'U3Q82DWV9']}]",[],0,,,,,,0,,"Hey G35! Iâ€™m afraid I wonâ€™t be able to make it to your capstone presentation since Iâ€™ll be visiting some family in Virginia that day, but Iâ€™m happy to help make sure your presentations are polished and ready. Please thumbs up if you would like me to hold a discussion on the presence, projection and body language aspects of a capstone and other general advice for improving your presentation. Iâ€™m going to also try to clear some time in the afternoon the next couple of days for office hours.",1491249200,,"Monday, 3 April 2017",message,,,,U1UC9NH9Q,
272,,,,,,,,,,,,,,,,,,,,,"[{u'count': 4, u'name': u'badger3', u'users': [u'U3NCECYLR', u'U3GD4QSGG', u'U3KBWD3CY', u'U3GEBV00H']}, {u'count': 1, u'name': u'+1', u'users': [u'U3QFYFMB8']}]",,,,,,,,,,Really nice tutorial series on Flask,,,"Monday, 3 April 2017",message,,,,U3K6F21UG,
273,"[{u'thumb_height': 360, u'thumb_url': u'https://i.ytimg.com/vi/ZVGwqnjOKjk/hqdefault.jpg', u'thumb_width': 480, u'title': u'Flask Web Development with Python Tutorial - 1 - Basic App', u'service_name': u'YouTube', u'author_link': u'https://www.youtube.com/user/thenewboston', u'video_html_width': 400, u'author_name': u'thenewboston', u'title_link': u'https://www.youtube.com/watch?v=ZVGwqnjOKjk', u'video_html': u'<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/ZVGwqnjOKjk?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>', u'video_html_height': 225, u'service_url': u'https://www.youtube.com/', u'from_url': u'https://www.youtube.com/watch?v=ZVGwqnjOKjk', u'fallback': u'YouTube Video: Flask Web Development with Python Tutorial - 1 - Basic App', u'service_icon': u'https://a.slack-edge.com/2089/img/unfurl_icons/youtube.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<https://www.youtube.com/watch?v=ZVGwqnjOKjk>,,,"Monday, 3 April 2017",message,,,,U3K6F21UG,
274,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'grinning', u'users': [u'U3NCECYLR']}]",,,,,,,,,,"good morning <!channel> ! Reminder that I'll be in Ocean Beach from 1-2:30 today collecting feedback on curriculum/Learn. Come on by, eat some chocolate, tell me your deepest darkest feelings about the nav panel. I would also especially love to hear about what modalities worked best for you (lecture? breakouts? sprints? etc...)",,,"Monday, 3 April 2017",message,,,,U23AJNHEY,
275,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'raised_hands', u'users': [u'U365TCNH3']}]",,,,,,,,,,"<!channel> Good morning, wonderful g35! Iâ€™m sure you are all taking some well-deserved time to relax after the sprint to hit yesterdayâ€™s deadline, but as youâ€™re doing so, also take some time to think about writing about your projects. 
Remember that your project descriptions should include both a *non-technical description of what your project is/does, and why it is interesting*, and a *technical description of how you completed your project.*
Here are the slides from the project description lecture: <https://docs.google.com/a/galvanize.com/presentation/d/1A1rsQ0PqFdwcT31mk4sB6y-NADdrQO_EiLkUTBmwewE/edit?usp=sharing>
Please take some time to *complete your Talent profiles.* This means that you need to have:
- all your experience as listed on your resume
- upload your resume 
- a description of who you are and what you are interested in (your bio/summary)
- a description of your Capstone and link
- as many locations as possible selected for your job search
Your completed Talent profiles are due by *Monday, April 3rd, at 5 pm.*
*Your completed Talent profile is a graduation requirement.*
Let me know if you have any questions! Iâ€™m happy to help! :smile:",,,"Saturday, 1 April 2017",message,,,,U36C8HHU3,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heads up, wonderful humans of this <!channel>! 
Classrooms will be locked on the weekends beginning FRIDAYS at 11:00pm. Please don't have your stuff held hostage- if you want to store things on the weekends, please move them to a locker (or a friend's locker) before leaving Fridays. Thanks, and have a wonderful weekend!",,,"Saturday, 1 April 2017",message,,,,U3F1AHRHT,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Good morning and Happy Friday! Please start your day by taking a few moments to tell us how this week went for you. We really appreciate it! <https://docs.google.com/forms/d/e/1FAIpQLSexvT7jLfdyliIVf0arEyk6xa5PB5v3wC8nBMk2qbL53ESgYA/viewform>,,,"Friday, 31 March 2017",message,,,,U3F1AHRHT,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Speaking Club starting right now,,,"Friday, 31 March 2017",message,,,,U1UC9NH9Q,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Iâ€™ve been told that the promo code for the Recruiter Panel isnâ€™t working, so I contacted the organizers - they say if you come down and say you are a student, they will let you in! Remember to be good guests and participate in the event!! :slightly_smiling_face:",,,"Friday, 31 March 2017",message,,,,U36C8HHU3,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need to sign up. Just show up if youâ€™re interested.,,,"Friday, 31 March 2017",message,,,,U1UC9NH9Q,
281,"[{u'thumb_height': 200, u'thumb_url': u'https://s0.wp.com/i/blank.jpg', u'thumb_width': 200, u'title': u'About', u'service_name': u'Christine Haas Consulting: Science Communication and Presentations Specialist', u'ts': 1431718303, u'title_link': u'http://christinehaasconsulting.com/about/', u'text': u'Visit the post for more.', u'from_url': u'http://christinehaasconsulting.com/about/', u'fallback': u'Christine Haas Consulting: Science Communication and Presentations Specialist: About', u'service_icon': u'http://christinehaasconsulting.com/wp-content/uploads/2015/05/Chaas_Fav.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'grinning', u'users': [u'U3NCECYLR']}, {u'count': 1, u'name': u'+1', u'users': [u'U3QFYFMB8']}]",,,,,,,,,,<!channel> Tonight for our Public Speaking Club meeting we will be having a guest speaker start our meeting with a discussion on how to create and present effective slides. Christine Haas of <http://christinehaasconsulting.com/about/> will be our speaker. It will be 6pm in the boardroom. Sheâ€™ll talk for about 15-30 minutes then weâ€™ll have our normal meeting after. I wonâ€™t be offended if you only show up for the talk and donâ€™t have time for the meeting after. Itâ€™s probably a decent idea given that you have to make and present slides next week for your capstone,,,"Friday, 31 March 2017",message,,,,U1UC9NH9Q,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Reminder that Expat Woman/Women in Tech is hosting a *Recruiter Panel* tonight at Galvanize! This is a great chance to hear first hand from some recruiters about what they are looking for when they hire. 6 pm onwards â€” Use gvpromo17 for complimentary tickets â€” both men &amp; women welcome :slightly_smiling_face:
<https://www.eventbrite.com/e/get-hired-recruiter-panel-and-jobseekers-pitch-recruiters-competition-tickets-32509117646>",,,"Friday, 31 March 2017",message,,,,U36C8HHU3,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tell me about yourself.
Tell me about a project.
Why are you interested in this position?
Tell me about your work experience.
Tell me about your education.
Why did you decide on a career/degree in _________?
Why did you/are you making a career change?
Why are you leaving your current job?
What did you like most/least about each of your jobs?
What kind of supervisor do you like to work for?
What are your strengths?
What are your weaknesses?
Tell me about a time you failed at something.
What 3 words would your coworkers use to describe you?
What 3 words would your current supervisor use to describe you?
If you had to describe your professional self in 3 words or phrases, which ones would you use?
Tell me about a time when you had to manage multiple priorities.
Tell me about a time when you worked on a team that didnâ€™t work well together. OR Tell me about a time you didnâ€™t get along with a coworker.
Tell me about your biggest professional challenge.
Tell me about a time when you were in a leadership role.
Why should we hire you?
Do you have any questions for me?
Take notes on the following:
Did the candidate actually answer the question?
Did the candidate give examples to support their answers?
Did the candidate get off-topic?
What did you think about the content of the answers?
How was body language?
How was eye contact?
Did the candidate get negative? (About their past, coworkers, former jobs, etc.)
Did the candidate talk about their relevant skill sets and how they relate to the job?
Was the candidate specific or vague in their answers?",,,"Thursday, 30 March 2017",message,,,,U36C8HHU3,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oh my I just almost walked in on bunch of suits :p,,,"Thursday, 30 March 2017",message,,,,U23AJNHEY,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<!channel> Update - the meetup this afternoon will be in the Speakeasy in the basement!,,,"Thursday, 30 March 2017",message,,,,U36C8HHU3,
286,,,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'stuck_out_tongue_closed_eyes', u'users': [u'U3NUVB29W', u'U3KA2HGDD']}]",,,,,,,,,,"<!channel> Hey lovely people! Respond to this with an emoji if you are interested in Wayfair in Boston - they are partnering with us and are looking to hire aggressively! <https://talent.galvanize.com/jobs/3626/details>
We can send your profiles across to them for immediate consideration. Let me know asap!",,,"Thursday, 30 March 2017",message,,,,U36C8HHU3,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hi <!channel> ! Congrats on coming so far! I'll be holding one last drop-in feedback session this coming Monday, from 1-2:30 in Ocean Beach in preparation for putting together a final report on my time as curriculum DSR. If you have any lingering curriculum thoughts--positive, negative, neutral--please come by and share them with me. Feel free to bring your lunch. I'll provide plenty of chocolate. There's no need to stay the whole time, just come with your thoughts. Thanks!",,,"Thursday, 30 March 2017",message,,,,U23AJNHEY,
288,"[{u'image_bytes': 28601, u'title': u'Elon Musk Just Confirmed That He's Making Tech To Merge Human Brains and Computers', u'service_name': u'Futurism', u'ts': 1490726961, u'title_link': u'https://futurism.com/elon-musk-just-confirmed-that-hes-making-tech-to-merge-human-brains-and-computers/', u'image_height': 250, u'image_url': u'https://futurism.com/wp-content/uploads/2017/03/brain-1845944_1920-1-600x315.jpg', u'image_width': 476, u'text': u'Elon Musk confirmed via Twitter that he's working on a brain-computer interface venture company called Neuralink â€” his proposed solution to an AI doomsday.', u'from_url': u'https://futurism.com/elon-musk-just-confirmed-that-hes-making-tech-to-merge-human-brains-and-computers/', u'fallback': u'Futurism: Elon Musk Just Confirmed That He's Making Tech To Merge Human Brains and Computers', u'service_icon': u'http://futurism.com/wp-content/themes/futurism/images/apple-touch-icon-144x144-precomposed.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'100', u'users': [u'U3NGA49SR']}, {u'count': 1, u'name': u'+1', u'users': [u'U3QFYFMB8']}]",,,,,,,,,,<https://futurism.com/elon-musk-just-confirmed-that-hes-making-tech-to-merge-human-brains-and-computers/>,,,"Thursday, 30 March 2017",message,,,,U3GD4QSGG,
289,,,,,"{u'user': u'U36C8HHU3', u'ts': u'1490899189.000000'}",,,,,,,,,,,,,,,,,,,,,,,,,,"<!channel> Todayâ€™s DSI careers meetup will be held in the *Boardroom on the first floor* from *3 - 5 pm* with a slightly different format! I will be available from 3 - 3:30 pm to answer any non-technical questions you may have/troubleshoot problems with you; Darren will be working with you from 3:30 pm, and we will also have Nir Kaldero, Director of Data Science at Galvanize, visiting to discuss a data science business case study! Super valuable stuff - please come!",,,"Thursday, 30 March 2017",message,,,,U36C8HHU3,
290,,,,,,,,,,,,,,,,,,,,,"[{u'count': 1, u'name': u'grinning', u'users': [u'U3NCECYLR']}]",,,,,,,,,,"Some extra material on Word2Vec, for anyone interested: <https://github.com/zipfian/word2vec>",,,"Wednesday, 29 March 2017",message,,,,U1UBYJQM6,
291,"[{u'title': u'Why Wesabe Lost to Mint - Marc Hedlund's Blog', u'text': u'A number of people have asked and speculated about why the company I co-founded, Wesabe, shut down earlier this summer. Some of the claims or guesses â€¦', u'title_link': u'http://blog.precipice.org/why-wesabe-lost-to-mint/', u'service_name': u'blog.precipice.org', u'from_url': u'http://blog.precipice.org/why-wesabe-lost-to-mint/', u'fallback': u'Why Wesabe Lost to Mint - Marc Hedlund's Blog', u'id': 1}]",,,,,,,,,,,,,,,,,,,,"[{u'count': 7, u'name': u'+1', u'users': [u'U3P1FCSTT', u'U3NUVB29W', u'U3GEBV00H', u'U36C8HHU3', u'U3KA2HGDD', u'U3GD4QSGG', u'U3F1AHRHT']}]",,,,,,,,,,"Really great article on data science making a big difference in product.  You probably know of <http://Mint.com|Mint.com>, but may not have heard of Wesabe.  Wesabe was a competitor, and was actually winning, and then Mint took the prize.  The cofounder of Wesabe wrote with a rare level of humility about the failing of his company, and why he thought it failed.  One key part I found illuminating: â€œSecond, Mint focused on making the user do almost no work at all, by automatically editing and categorizing their data, reducing the number of fields in their signup form, and giving them immediate gratification as soon as they possibly could; we completely sucked at all of that. Instead, I prioritized trying to build tools that would eventually help people change their financial behavior for the better, which I believed required people to more closely work with and understand their data. My goals may have been (okay, were) noble, but in the end we didnâ€™t help the people I wanted to since the product failed. I was focused on trying to make the usability of editing data as easy and functional as it could be; Mint was focused on making it so you never had to do that at all. Their approach completely kicked our approachâ€™s ass. (To be defensive for just a moment, their data accuracy â€“ how well they automatically edited â€“ was really low, and anyone who looked deeply into their data at Mint, especially in the beginning, was shocked at how inaccurate it was. The point, though, is hardly anyone seems to have looked.)â€  Itâ€™s an old article but still an insightful one.  Just a smattering of data science, even with low accuracy, was better than making users do the work themselves. â€” <http://blog.precipice.org/why-wesabe-lost-to-mint/>",,,"Wednesday, 29 March 2017",message,,,,U28SL7CLR,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Itâ€™s 6pm in the Boardroom on the 1st floor,,,"Wednesday, 29 March 2017",message,,,,U1UC9NH9Q,
293,"[{u'thumb_height': 200, u'thumb_url': u'https://s0.wp.com/i/blank.jpg', u'thumb_width': 200, u'title': u'About', u'service_name': u'Christine Haas Consulting: Science Communication and Presentations Specialist', u'ts': 1431718303, u'title_link': u'http://christinehaasconsulting.com/about/', u'text': u'Visit the post for more.', u'from_url': u'http://christinehaasconsulting.com/about/', u'fallback': u'Christine Haas Consulting: Science Communication and Presentations Specialist: About', u'service_icon': u'http://christinehaasconsulting.com/wp-content/uploads/2015/05/Chaas_Fav.png', u'id': 1}]",,,,,,,,,,,,,,,,,,,,"[{u'count': 2, u'name': u'+1', u'users': [u'U1VA45RE2', u'U3QFYFMB8']}]",,,,,,,,,,<!channel> Tomorrow for our Public Speaking Club meeting we will be having a guest speaker start our meeting with a discussion on how to create and present effective slides. Christine Haas of <http://christinehaasconsulting.com/about/> will be our speaker. For those of you entering capstone (AKA all of you) it would probably be good to come and check out what she has to say and ask questions. I wonâ€™t be offended if you are busy with your capstones and leave after without participating in the meeting portion.,,,"Wednesday, 29 March 2017",message,,,,U1UC9NH9Q,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<@U3NEANFLZ> congrats!  bring him to school soon!,,,"Wednesday, 29 March 2017",message,,,,U3GPHKJR1,
